Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
c1c04a55-0dd5-48e2-9cc6-76bbcc1899fd___GH_HL Leaf 340.1.JPG,Label 1,5734.558624507874,5937.223634447269,5844.6387795275605,5885.951887903777,0.036107949097206105,0.0323001546747952,0.03405717738871013,0.034985707456122436,56.435962106299215,58.054684109368225,57.5472440944882,57.78671957343916,8.348137690297417,8.361933620527408,8.352961325976352,8.355097056361398,0.0003365921038482702,0.00033042387369417315,0.0003319167404936373,0.0003308947655777388,0.018346446627297345,0.01817756512006416,0.018218582285502823,0.01819051306526946,0.4727233167317116,0.4518051224664873,0.4609052526861139,0.4565045285940562
c1dfd66e-7c0c-40a7-8280-0aa1aaf5436b___GH_HL Leaf 431.JPG,Label 1,6105.769746555118,6247.544733089467,6017.2978592519685,6245.243412486825,0.028368462547388715,0.028687402304568226,0.03014495611273364,0.03154938023307672,59.64437746062991,60.463822927645865,59.293184055118104,60.36821873643748,8.341666179597297,8.344565631272047,8.336906799321266,8.350453037758992,0.0003061653462174112,0.00030378869115354947,0.00030651916772583544,0.0003007000247988965,0.0174975811533312,0.017429535024020275,0.017507688817369225,0.01734070427632328,0.43883665935008376,0.42523786650651874,0.4463011772139773,0.4254669593665994
c2c1758f-3576-4e8a-9853-5f11ac4d20d6___GH_HL Leaf 316.1.JPG,Label 1,5249.946604330708,5521.931923863847,5411.428641732284,5490.954243908487,0.0363855485841775,0.031374392957322486,0.0322198910758576,0.0330132701111709,54.11958661417322,56.13007626015253,55.50922736220472,55.740157480314956,8.565362347455803,8.582752865957122,8.571747821142882,8.572435844223927,0.00024845081428444114,0.000243583722333915,0.00024670819605311086,0.0002473854535408246,0.015762322617065075,0.015607168940391304,0.015706947381751518,0.015728491775781447,0.5159615315528462,0.4885885967155993,0.49887062856743236,0.491453338324951
c6acee22-6c56-41a8-ae90-26c6064e0261___GH_HL Leaf 468.JPG,Label 1,3632.11066683071,3855.7009734019466,3696.0458292322846,3883.185876371752,0.043100803795886905,0.04091204214751926,0.04055562969220738,0.040653345018489766,44.16221702755906,46.117862235724466,45.20749261811025,45.93806187612375,8.175212829318763,8.203930999543878,8.19713269532065,8.201479434707162,0.0003820515453530908,0.0003719200196785911,0.00037305274805862125,0.0003729175416686748,0.019546138886058568,0.019285228017282843,0.01931457346302582,0.019311073032555047,0.6682917961759446,0.6463798157411765,0.6610135272746522,0.6438691369891127
c7cedd2f-dfae-4232-9cab-d75197d48948___GH_HL Leaf 226.6.JPG,Label 1,7378.752460629923,7587.14911029822,7544.033341535433,7540.384958769917,0.026343100148101546,0.02436332332204187,0.027605127907361304,0.02745241896513209,66.69869586614175,68.24738049476099,67.39874507874016,67.50455700911402,8.526793769527142,8.539524175568785,8.528962574406933,8.539444352920487,0.00025569942497306875,0.0002512582990321911,0.000256866846741506,0.00025450264800957404,0.015990604271667434,0.015851129266780683,0.01602706606779625,0.01595313912713025,0.31754045765160166,0.2957572879588708,0.30014722679656286,0.3001793920647793
c8a610ce-ef41-42b4-ad46-fe82891ac4e0___GH_HL Leaf 258.JPG,Label 1,6823.752030019687,6695.430962861927,6723.072588582678,6816.736127472256,0.021454164685057286,0.025111638948876677,0.023298808177530557,0.02358240352236091,64.60648375984255,63.93737987475975,64.10863681102362,64.51181102362204,8.94275660464065,8.933511288578837,8.93402109253957,8.939943611381338,0.00015998786880386267,0.00016165430061655585,0.00016107203845267063,0.0001603665554655804,0.012648631103952026,0.012714334454329722,0.012691415935689392,0.012663591728478158,0.369430438091977,0.38010985509274237,0.3772286748108481,0.36889476658234915
ca4e96c1-9bf0-49fb-804f-c895905c0584___GH_HL Leaf 210.2.JPG,Label 1,5112.063853346456,5251.521049042099,5336.360605314961,5461.220906441814,0.03450679286646216,0.030563372266668942,0.03479269105574485,0.030481102967706612,52.71099901574804,53.89639779279559,54.39037893700788,55.120218240436486,8.569101035969126,8.580033753032922,8.57969247480544,8.582595897631062,0.00027048802876902627,0.0002675050300190501,0.000266486250745939,0.0002646066424255113,0.016446520263235814,0.016355581005242526,0.016324406597053965,0.016266734227419814,0.5307633012540296,0.5160877212752436,0.5084384760420422,0.49677796710694905
ca9e9564-bf57-4e2e-837f-a847db99a316___GH_HL Leaf 401.JPG,Label 1,3114.130597933071,3339.6800173600354,3207.110297736221,3417.889081778164,0.04498957010724637,0.04393712301617348,0.04324115827317096,0.042600012793286846,40.41320127952756,42.3745427490855,41.651390255905525,42.968503937007874,8.301829048753495,8.32852917804543,8.328655556189785,8.342089637951513,0.00032882127531833185,0.00031717739670831813,0.00031727572000065887,0.0003124627118495975,0.018133429772614222,0.017809474913885532,0.01781223512085608,0.01767661483004021,0.7150858305103526,0.6930713314305033,0.7053822523247576,0.6859058847780853
caa60224-1c60-455e-8b7c-e73626af84c1___GH_HL Leaf 214.JPG,Label 1,5462.568836122047,5641.204972409943,5449.0355561023625,5497.336660673322,0.030817439588213886,0.02878402921837378,0.028607892395903816,0.028564122404577532,56.07240403543307,57.209436418872826,56.326402559055126,56.672515345030696,8.652848433408543,8.664006629997973,8.656109168778766,8.661122233423768,0.00022297566567789384,0.00021819400077513026,0.00021920472307741497,0.00022030244320889162,0.01493236972747105,0.014771391294496611,0.014805563922978921,0.014842588831093167,0.49721334462971445,0.47868057633410716,0.49691675742930264,0.49196120473396615
cbb3f283-baaa-40b1-9e46-3414d8f74f99___GH_HL Leaf 231.1.JPG,Label 1,6083.065821850393,6203.097402194804,6169.507812500002,6119.471510943023,0.02980249006147645,0.028930810163280595,0.030890775462138392,0.028655344419599518,59.11774114173228,60.120528241056476,59.764579232283474,59.56984313968628,8.64839520359854,8.656148486470913,8.647968168818176,8.650903677333698,0.00022980990786200322,0.0002246096624377512,0.00022828866458514171,0.00022879963919764158,0.01515948244043982,0.014986983099935463,0.015109224486555944,0.015126124394491855,0.43788432318057324,0.42480081364410244,0.4282388685301473,0.4325829024607745
